Country,Year,Exports of goods and services (current US$),External balance on goods and services (current US$),Final consumption expenditure (% of GDP),Migrant remittance inflows (% of GDP),GDP (current US$),GDP growth (annual %),"GDP per capita, PPP (current international $)",GNI (current US$),Imports of goods and services (current US$)
Burundi,1960-01-01,24499997.97599,-1750001.998285,94.6428599307582,,195999989.80792,,,193892003.809986,26249999.974275
Burundi,1961-01-01,26249999.974275,-3499999.99657,94.8275889587227,,202999991.80106,-13.7461350539839,,200819997.803196,29749999.970845
Burundi,1962-01-01,27999999.97256,-6999999.99314,95.9016403962068,,213500005.79077,9.06315793386563,,211212001.793012,34999999.9657
Burundi,1963-01-01,17499999.98285,-15749999.984565,100.751877987127,,232749997.771905,4.13540742185575,,230277999.774328,33249999.967415
Burundi,1964-01-01,36749999.963985,5249997.994855,92.6174452888224,,260750007.744465,6.27303790087062,,257986007.747174,31500001.96913
Burundi,1965-01-01,16452740.7251167,-3476148.14484709,96.4197328403602,,158994962.811977,3.96722560928015,,157479110.961564,19928888.8699638
Burundi,1966-01-01,17828571.4107429,-3666285.71061943,95.4484540355337,,165444571.263127,4.61299289557684,,156047999.843952,21494857.1213623
Burundi,1967-01-01,19257142.8378857,-1934857.14092229,94.2337029677585,,178297142.678846,13.8215186020874,,166971428.404457,21191999.978808
Burundi,1968-01-01,18861714.2668526,-5626285.70865943,94.8814722395508,,183199999.8168,-0.297883673472171,,169679999.83032,24487999.975512
Burundi,1969-01-01,18371428.5530571,-4633142.85250971,94.14708886619,,190205714.095509,-1.45954114245622,,178171428.393257,23004571.4055669
Burundi,1970-01-01,25945142.8311977,-2262857.14059429,96.4014482722903,,242732571.185839,21.3256707328654,,235283428.336145,28207999.971792
Burundi,1971-01-01,21329142.8375912,-14502857.1295629,98.128251603484,,252842285.482514,2.74682871213831,,243766856.919404,35831999.967154
Burundi,1972-01-01,28961142.8571429,-8244571.42857143,100.15883012123,,246804571.428571,-6.40396492407875,,235406857.142857,37205714.2857143
Burundi,1973-01-01,33526603.8537475,-7050208.68217829,97.0047341213955,,304339839.552146,6.88905071896333,,295982555.669407,40576812.5359258
Burundi,1974-01-01,33674920.6349206,-19958095.2380952,101.728240681145,,345263492.063492,-0.726839562746335,,336273015.873016,53633015.8730159
Burundi,1975-01-01,34839365.0793651,-45155555.5555556,103.146048436477,,420986666.666667,0.697920236215197,,412341587.301587,79994920.6349206
Burundi,1976-01-01,61551304.3478261,-13122318.8405797,93.8379753643124,,448412753.623188,7.9426609761414,,437150144.927536,74673623.1884058
Burundi,1977-01-01,96342222.2222222,1665555.55555556,88.4993770064653,,547535555.555556,11.4694530439125,,537186666.666667,94676666.6666667
Burundi,1978-01-01,71443333.3333333,-51983333.3333333,94.4818218400118,,610225555.555556,-0.940575988409648,,595765555.555556,123426666.666667
Burundi,1979-01-01,110822222.222222,-66977777.7777778,93.6432814055296,,782496666.666667,1.66495495023543,,772336666.666667,177800000.0
Burundi,1980-01-01,81022222.2222222,-133201111.111111,100.596916475185,,919726666.666667,0.991055725106477,,921813333.333333,214223333.333333
Burundi,1981-01-01,88603333.3333333,-124952222.222222,95.8881695870626,,969046666.666667,12.1632755698283,,966146666.666667,213555555.555556
Burundi,1982-01-01,103470000.0,-169162222.222222,102.238074350258,,1013222222.22222,-1.05359982021012,,1005555555.55556,272632222.222222
Burundi,1983-01-01,97956966.1108123,-170043033.889188,92.8753799996026,,1082926304.46477,3.71532699139112,,1073595481.44164,268000000.0
Burundi,1984-01-01,113561106.006182,-118934090.719238,93.6774673989388,,987143931.166987,0.155544004959737,,974118285.857489,232495196.72542
Burundi,1985-01-01,126803836.274753,-112241235.39647,95.8990098061114,,1149979285.77347,11.7831801786654,,1131604109.70254,239045071.671224
Burundi,1986-01-01,140881024.787597,-127291596.741701,98.9483906822837,,1201725497.06578,3.25018045970241,,1181080844.35491,268172621.529298
Burundi,1987-01-01,110260311.589511,-180963682.421496,93.3813571857744,,1131466494.01101,5.50309611952244,,1103051149.23924,291223994.011007
Burundi,1988-01-01,136282900.38819,-144635190.71192,98.3274049116896,,1082403219.48787,5.03102436749121,,1059467929.76958,280918091.10011
Burundi,1989-01-01,108560193.991189,-147013717.408157,96.7348214639335,,1113924130.41149,1.34950223651784,,1096300427.94028,255573911.399346
Burundi,1990-01-01,89130244.3724271,-225312545.619106,105.365229680521,,1132101252.51817,3.49982213611253,609.371647541677,1117211760.24058,314442789.991533
Burundi,1991-01-01,115775316.368525,-216993753.615444,104.177994695561,,1167398478.3459,4.99683644792125,648.330867116989,1156153553.73995,332769069.983968
Burundi,1992-01-01,94756920.9276871,-224489561.360134,110.089472302158,,1083037670.60484,1.00999837099629,652.512222508418,1069379682.96184,319246482.287821
Burundi,1993-01-01,88062144.1515651,-166880195.222405,106.238925630672,,938632612.026359,-6.24000000139047,647.477043592149,928818579.07743,254942339.37397
Burundi,1994-01-01,95016968.8478329,-168448010.195399,111.235866332322,,925030590.153683,-3.82999999619828,632.424953909955,913654989.848138,263464979.043231
Burundi,1995-01-01,129318804.202468,-143580889.901425,107.988504318493,,1000428393.88528,-7.92000000374772,559.836299430181,988018268.88428,272899694.103893
Burundi,1996-01-01,50580560.1981833,-86321830.2229562,101.723274078297,,869033856.317093,-7.99999999794093,524.681068398009,855125492.320396,136902390.42114
Burundi,1997-01-01,95688945.6506315,-44796367.2484745,98.5075845974329,,972896267.915425,-1.58999999685828,525.83172726084,960396267.915425,140485312.899106
Burundi,1998-01-01,71499425.8531711,-102252107.221222,104.668915542229,,893770739.54206,4.74999999509613,546.719839805259,885470740.249275,173751533.074394
Burundi,1999-01-01,61217971.467102,-67783377.1027042,102.503293807642,,808077223.365746,-1.00999999649815,535.962337056464,796772713.286962,129001348.569806
Burundi,2000-01-01,55005758.5302566,-86315511.9541538,107.134645590619,,870486065.883137,-0.856864058424151,532.425919852103,884786065.883137,141321270.48441
Burundi,2001-01-01,45410971.2771723,-92989703.1372313,106.137382722716,,876794723.068586,2.05580710835243,542.030190166285,864477157.825014,138400674.414404
Burundi,2002-01-01,38676370.9162601,-101541858.305899,108.353560845808,,825394519.71933,4.44651941224797,559.112337329033,811709107.197696,140218229.222159
Burundi,2003-01-01,50072047.4404685,-114665348.875875,106.744693991586,,784654423.620476,-1.22372796023444,545.775539314511,766758030.795662,164737396.316344
Burundi,2004-01-01,63635537.873214,-161731658.355361,107.323524477722,0.00464861456671276,915257323.3961,4.83365776809453,566.091631453863,887956197.145997,225367196.228575
Burundi,2005-01-01,69261012.8141571,-253584652.535964,104.496393112649,0.00640518063175636,1117113080.08074,0.900000000901912,567.700700411859,1099326369.53165,322845665.350121
Burundi,2006-01-01,92956380.7267365,-353998271.808668,109.28702954424,0.000927072401687028,1273375078.44844,5.41380714491444,595.205565689488,1264550109.90148,446954652.535404
Burundi,2007-01-01,92221560.1507994,-341762225.137499,110.013549332041,0.0143971836780267,1356199386.79629,3.45194856381943,609.593595544823,1350312448.56055,433983785.288299
